门店名,消费笔数
天津河东爱琴海店,80
上海恒利国际大厦店,107
中江路店,115
广州五月花广场店,44
杭州西溪湿地河渚街店,94
杭州远洋乐堤港商业街店,166
南京新尧金地广场店,96
湖州长兴八佰伴店,74
紫荆广场店,140
复旦软件园店,82
北京富力家园店,116
七宝宝龙城中庭店,125
淮安华信Mall,72
徐州邳州新苏中心店,94
杭州黄龙时代广场店,86
杭州庆春路店,169
苏州喜悦尚中心店,190
常州现代传媒中心,126
上海传悦坊店,103
北京双清路店,26
上海SK大厦店,87
金沙广场店,117
成都科华王府井店,44
上海松江宝地佘山荟店,164
温州永嘉万潮广场,58
连云港灌南恒基星河广场,55
北京大栅栏店,83
上海北郊未来产业园店,86
重庆龙湖公园天街,24
深圳万象天地二楼店,103
杭州曲院风荷店,139
汇商大厦店,68
绍兴环宇中心店,118
广州三元里中心店,12
常州月星环球港南区店,66
青岛崂山万象汇店,51
宁波月湖盛园店,108
宁波象山一兆韦德广场店,44
温州平阳银泰店,92
杭州平安金融中心店,89
龙德广场3店,42
上海康定路店,253
上海东虹桥中心店,57
柳州工贸店,39
松江明中广场,524
上海中闻广场(红点城),62
深圳云城万科里东里店,135
东莞愉景雅苑店,78
运城万达店,58
无锡江阴海岸城店,37
北京郭公庄北京方向,26
常州溧阳八佰伴店,122
宁波银泰环球城1F店,55
深圳机场T3国内出发店,307
西安万科曲江创意谷店,108
佛山山海名门店,27
北京阜石路第一咖啡店,12
泰州柳园文商街区店,104
太原柳巷第一咖啡店,27
上影博物馆店,63
深圳后海君尚店,112
苏州village店,170
长春力旺广场店,43
佛山美的新都荟分店,58
宁波镇海锦绣江南店,93
北京日祥广场店,41
汉商银座,23
深圳坂田天虹分店,46
由由世纪广场店,54
金华江南一百店,68
泉州中骏世界城分店,63
珠海横琴国际商务中心店,42
虹桥天地二店,93
嘉杰广场店,92
上海天平邻里汇店,70
南京新世纪店,146
西安苏宁生活广场店,38
杭州嘉华店,178
武汉保利广场店,19
宝山同济创园店,116
东宝兴路店,119
成都郫都百伦广场店,35
杭州金地广场店,65
北京泰康国际大厦店,23
宁波日报店,114
连城新天地分店,82
广州#5停机坪店,27
郑州惠济万达店,25
重庆汇祥林里3000店,24
上海临港泥城万达店,55
洛阳辽宁路万达店,21
北京丰北路咖啡店,51
南京瑞都广场店,110
咸宁金诚,25
杭州大厦C座店,123
杭州星光城2F店,71
凯德晶萃店,122
上海央视传媒港1层店,120
医谷现代商务园店,206
周浦万达店,232
川沙百联店,179
嘉定Max未来店,133
北京旧宫万科咖啡店,96
杭州文华酒店店,120
苏州世茂广场店,198
昆明昆百大新西南,42
武汉万达中心店,23
广州白云汇店,56
张家港购物公园店,155
西安杨凌万达广场,16
珠海优特汇店,78
汇暻生活广场店,94
天津西康路咖啡店,55
